question,variant,answer,n_chunks,n_cited,invalid_citations,input_tokens,output_tokens,cost_usd,latency_ms
I have 15 years of experience and can't get interviews — what do people suggest?,terse,"People suggest leaning on stability, maturity, responsibility, and other non-technical strengths when interviewing. One commenter says hiring managers may value business knowledge, communication, and presentation skills more than pure technical depth for many roles, and recommends studying accounting/business management. Others say the market is rough: applications often get no response, get filtered into assessments/tests, or face AI-driven interviews and even condescending treatment about AI tools. One person says they left knowledge work after 15 years and picked up a trade, while another says they switched jobs successfully through recruiter interest and referrals but got almost no response from outbound applications.",8,0,,1645,124,0.000000,2564
I have 15 years of experience and can't get interviews — what do people suggest?,cot,"## Positions:
1. **Experience alone may not help if recruiters/employers are getting fewer signals or outreach is weaker; even senior people can see little response.** [1]
2. **The job market feels worse: applications often go unanswered, get filtered into tests/AI screening, or never reach a human.** [2]
3. **In some interviews, AI/Cursor hype can be used to dismiss experienced candidates, even when they have many years in the field.** [3]
4. **Broaden your preparation beyond pure technical skill: business knowledge, communication, and presentation skills can matter a lot in interviews.** [4]
5. **If knowledge-work opportunities are drying up after long careers, one suggestion is to pivot into a trade or other non-knowledge-work path.** [5, 7]
6. **For getting initial customer/interview-style conversations, use targeted outreach on LinkedIn, relevant online communities, or in-person events, and focus on researching people’s problems rather than pitching.** [6]
7. **Employers may value stability and maturity; if relevant, emphasize responsibility, long-term commitment, and a steady work style in interviews.** [8]

## Summary:
People in the comments suggest a mix of external and personal strategies. Several say the market itself seems harsher now: even experienced candidates may get little recruiter interest, many applications may disappear into automated tests or AI screens, and some interviewers may use AI-related expectations in ways that disadvantage seasoned people. Others recommend adapting by broadening your appeal: strengthen business, communication, and presentation skills, and in interviews emphasize maturity, responsibility, and stability rather than just technical depth.

A few comments go further and suggest changing direction entirely if long-established knowledge work is becoming less satisfying or less available, such as moving into a trade or other different line of work. One comment also offers a more outreach-oriented tactic: find the right people on LinkedIn, in niche communities, or at events, talk to them about their problems, and use that kind of relationship-building approach rather than a hard pitch.",8,5,,1679,428,0.000000,3868
I have 15 years of experience and can't get interviews — what do people suggest?,citation,"People in the comments mostly suggested that having a lot of experience is not, by itself, enough to get interviews anymore, and that you may need to change how you present yourself or where you apply. But the comments are limited, so this is more a set of anecdotes and suggestions than a clear consensus. [1][2][3][8]

A few comments said the market can still be active for experienced people, but that responses may be very uneven. One person with roughly 15–20 years’ experience said they still got “usual recruiter interest” from a well-known large company, and after a short process moved to a similar-level role with a salary bump, while outbound applications to other major companies got almost no response. They also said recruiter outreach dropped after changing employers, even though the move was not public. [1]

Others described much worse response rates and fewer human conversations. One commenter with about 3 years’ experience said their application response rate fell from about 35% to 18%, and that they “rarely even get to talk to a human,” instead getting tests or no response. [2] Another person with 13 years of software engineering experience described being talked down to by an AI startup and then told they lacked experience for the role. [3]

On what to do, the most direct advice was to lean into stability, maturity, and business-facing skills rather than only technical depth. One hiring manager said employers outside top tech companies often care more about presentation skills and grasp of business concepts, and suggested taking classes in accounting/business management and learning to write and speak well. [4] Another commenter said to “lean into” words like maturity, responsibility, and stability when interviewing, because employers value those traits. [8]

One practical suggestion for getting interview conversations was to use LinkedIn or other places where your target users/employers hang out, and ask for time to discuss their workflow and problems rather than pitching yourself or a product directly. That comment was about SaaS customer interviews, not job hunting, but the tactic was to talk to the right people where they already are. [6]

There was also a more pessimistic thread suggesting some long-tenured knowledge workers are leaving dev roles altogether because AI is reducing the sense of achievement in their work. One person said they left after 15 years in knowledge work and dev roles for that reason, and another said they were leaving a 15-year job because AI output was as good as or better than their own thinking. [5][7]

So, roughly speaking, the comments split between:
- “Try different positioning: emphasize stability, maturity, communication, and business understanding” [4][8]
- “The market is rough; even experienced people are seeing very low response rates and few human interviews” [1][2][3]
- “Some people are changing careers or leaving dev work entirely” [5][7]

If you want, I can turn these comments into a short, actionable checklist, still using only the forum comments.",8,6,,1670,614,0.000000,5219
Is it worth leaving a stable job to join a startup?,terse,"No: the comments mostly say not to leave a stable job for a startup unless you want the adventure and can accept the risk.  
Several commenters say startups usually fail, so you should keep your current job and only switch if you have something else lined up.  
A few say the main reasons to join are learning, excitement, and potential upside, but not money or job security.",8,0,,1755,80,0.000000,1375
Is it worth leaving a stable job to join a startup?,cot,"## Positions:
1. **Usually not worth it because startups are risky and often fail; keep a stable job unless you already have another option.** [1, 6]
2. **A startup can be worth it if you want the adventure, learning, excitement, and are okay with trading away stability and security.** [3, 4]
3. **Don’t join for the money; the possible upside is uncertain and may never show up.** [3, 4, 6]
4. **If you prefer stability, stress-free pay, and a predictable environment, a more established company is the better choice.** [1, 2, 4]
5. **If a startup is already contracting or looks shaky, the advice is to leave and start interviewing elsewhere.** [1, 6]

## Summary:
The comments mostly suggest that leaving a stable job for a startup is only worth it if you actively want the startup experience itself: the adventure, pressure, learning, and chance to build something exciting. But several commenters warn that this comes with real tradeoffs, because startups often fail and the financial upside may never materialize. A few say not to do it for the money, since the risk is too high and the payoff too uncertain.

Others emphasize the opposite side: if you value stability, lower stress, and a predictable paycheck, a stable or more established company is the safer and better fit. One commenter even says that if a startup is already contracting, that’s a strong signal to leave and look for another job, preferably before things get worse.",8,0,,1789,325,0.000000,3074
Is it worth leaving a stable job to join a startup?,citation,"The comments mostly argue that leaving a stable job for a startup is only “worth it” if you want the upside and can tolerate the risk; several say not to do it just for money or security. [3][4][6]

- One view is that startups are inherently unstable: most fail, so you should expect uncertainty and not leave a stable job unless you have another option or are specifically looking for a more stable company instead. [1][4][6]
- Another view is that the main reasons to join a startup are non-financial: learning, adventure, meeting people, and the experience itself, not immediate compensation or job security. [3][4]
- A few comments are strongly negative about staying in a startup when things are going badly, recommending that you leave or start interviewing if the startup is contracting or looks shaky. [1][6]
- One comment says a stable paycheck, stress-free environment, and stability matter more than chasing resume-building, implying that sticking with stability can be the better choice. [2]

So, based on these comments, the answer is: it can be worth it for the experience or upside, but if you value stability, several commenters say a startup is probably not the right move. [1][3][4][6]",8,3,,1780,262,0.000000,3118
Do people regret moving into management instead of staying technical?,terse,The comments do not address whether people regret moving into management instead of staying technical.,8,0,,2038,19,0.000000,1105
Do people regret moving into management instead of staying technical?,cot,"## Positions:
1. Management/career growth becomes more about communication and business skills than pure technical ability, so moving into management is not necessarily something to regret. [1, 4]
2. Poor management is common, and people can still make management work for them by setting the agenda, managing up, and using 1:1s proactively. [2]
3. Some people regret spending too much effort on technical metrics like grades, because those efforts didn’t matter much later compared with practical experience and broader skills. [5]
4. Many commenters are pessimistic about tech careers generally, saying companies are cutting costs, pushing AI, outsourcing, and shrinking headcount, which may make staying technical feel insecure rather than clearly preferable. [3, 7, 8]
5. A few comments are from people who explicitly prefer staying technical or at least do not frame management as a better choice for themselves. [1]

## Summary:
The comments do not show a single clear answer, but they lean toward “it depends.” Some people argue that as you move up, communication and business understanding matter more than technical depth, so management is a different kind of value rather than a downgrade. Others say management often fails because of bad managers, though you can sometimes improve the situation by actively managing up and using one-on-ones well. There is also regret in the thread, but it is more about overinvesting in grades or narrow technical achievement than about becoming technical versus managerial per se. Separately, several comments paint a bleak picture of tech jobs overall — layoffs, AI pressure, outsourcing, and cost-cutting — which makes staying technical seem uncertain. A couple of commenters explicitly prefer remaining an IC, so at least for them, management is not the desired path.",8,2,,2072,359,0.000000,3102
Do people regret moving into management instead of staying technical?,citation,"The comments do not directly answer whether people regret moving into management instead of staying technical. None of the numbered comments explicitly say “I moved into management and regret it” or “I do not regret it.” [1][2][3][4][5][6][7][8]

What the comments do say is more indirect:

- One commenter argues that as people climb the corporate ladder, communication matters more than technical skill, and they personally still want to stay an IC engineer rather than move upward. That suggests a preference for staying technical, but not regret about management specifically. [1]
- Several comments emphasize business communication, managing up, and presentation skills as important for advancement, which implies that moving toward management or broader business responsibilities can be advantageous. [1][2][4]
- Other comments focus on job-market pressures, cost-cutting, and a desire to leave tech or build alternatives, but they do not discuss regret about management vs. technical careers. [3][7][8]
- One commenter regrets overinvesting in grades, not in choosing management over technical work. [5]

So, based only on these comments, there isn’t enough evidence to say that people in this thread regret moving into management; the comments mostly stress the importance of communication and business skills, while one person explicitly says they want to remain an IC engineer. [1][2][4]",8,6,,2063,282,0.000000,2763
How do developers deal with burnout?,terse,"They say to step away, recover, and reflect if you’re too burnt out, and to return later if the passion comes back. One comment adds that some are so burned out they can’t even exercise anymore and may think about quitting programming altogether, though they still love it as a hobby. Another says a break from AI and working the “old” way can help sharpen skills. They also mention people trying to push through because of competition or job pressure.",8,0,,1722,95,0.000000,1409
